NAME,GEO_ID,POP,YR,AGE,SEX
Andorra,W140000WOAD,432,2023,15,2
United Arab Emirates,W140000WOAE,52476,2023,15,2
Afghanistan,W140000WOAF,422527,2023,15,2
Antigua and Barbuda,W140000WOAG,724,2023,15,2
Anguilla,W140000WOAI,127,2023,15,2
Albania,W140000WOAL,14491,2023,15,2
Armenia,W140000WOAM,16662,2023,15,2
Angola,W140000WOAO,434715,2023,15,2
Argentina,W140000WOAR,343890,2023,15,2
American Samoa,W140000WOAS,356,2023,15,2
Austria,W140000WOAT,40096,2023,15,2
Australia,W140000WOAU,159385,2023,15,2
Aruba,W140000WOAW,702,2023,15,2
Azerbaijan,W140000WOAZ,73128,2023,15,2
Bosnia and Herzegovina,W140000WOBA,16098,2023,15,2
Barbados,W140000WOBB,1794,2023,15,2
Bangladesh,W140000WOBD,1390809,2023,15,2
Belgium,W140000WOBE,67566,2023,15,2
Burkina Faso,W140000WOBF,261914,2023,15,2
Bulgaria,W140000WOBG,36321,2023,15,2
Bahrain,W140000WOBH,9089,2023,15,2
Burundi,W140000WOBI,156956,2023,15,2
Benin,W140000WOBJ,158378,2023,15,2
Saint Barthelemy,W140000WOBL,22,2023,15,2
Bermuda,W140000WOBM,386,2023,15,2
Brunei,W140000WOBN,3124,2023,15,2
Bolivia,W140000WOBO,120548,2023,15,2
Brazil,W140000WOBR,1508972,2023,15,2
"Bahamas, The",W140000WOBS,3963,2023,15,2
Bhutan,W140000WOBT,7024,2023,15,2
Botswana,W140000WOBW,22624,2023,15,2
Belarus,W140000WOBY,51329,2023,15,2
Belize,W140000WOBZ,3975,2023,15,2
Canada,W140000WOCA,206691,2023,15,2
Congo (Kinshasa),W140000WOCD,1283359,2023,15,2
Central African Republic,W140000WOCF,59410,2023,15,2
Congo (Brazzaville),W140000WOCG,68886,2023,15,2
Switzerland,W140000WOCH,40767,2023,15,2
Côte d'Ivoire,W140000WOCI,351435,2023,15,2
Cook Islands,W140000WOCK,47,2023,15,2
Chile,W140000WOCL,118559,2023,15,2
Cameroon,W140000WOCM,339825,2023,15,2
China,W140000WOCN,7348227,2023,15,2
Colombia,W140000WOCO,365067,2023,15,2
Costa Rica,W140000WOCR,36292,2023,15,2
Cuba,W140000WOCU,54585,2023,15,2
Cabo Verde,W140000WOCV,5321,2023,15,2
Curaçao,W140000WOCW,977,2023,15,2
Cyprus,W140000WOCY,6194,2023,15,2
Czechia,W140000WOCZ,58778,2023,15,2
Germany,W140000WODE,375960,2023,15,2
Djibouti,W140000WODJ,8946,2023,15,2
Denmark,W140000WODK,33584,2023,15,2
Dominica,W140000WODM,476,2023,15,2
Dominican Republic,W140000WODO,93202,2023,15,2
Algeria,W140000WODZ,376396,2023,15,2
Ecuador,W140000WOEC,167982,2023,15,2
Estonia,W140000WOEE,6896,2023,15,2
Egypt,W140000WOEG,1029839,2023,15,2
Eritrea,W140000WOER,74140,2023,15,2
Spain,W140000WOES,255681,2023,15,2
Ethiopia,W140000WOET,1268627,2023,15,2
Finland,W140000WOFI,30489,2023,15,2
Fiji,W140000WOFJ,8315,2023,15,2
"Micronesia, Federated States of",W140000WOFM,969,2023,15,2
Faroe Islands,W140000WOFO,312,2023,15,2
France,W140000WOFR,412102,2023,15,2
Gabon,W140000WOGA,26878,2023,15,2
United Kingdom,W140000WOGB,389641,2023,15,2
Grenada,W140000WOGD,839,2023,15,2
Georgia,W140000WOGE,27268,2023,15,2
Guernsey,W140000WOGG,334,2023,15,2
Ghana,W140000WOGH,357218,2023,15,2
Gibraltar,W140000WOGI,175,2023,15,2
Greenland,W140000WOGL,384,2023,15,2
"Gambia, The",W140000WOGM,29097,2023,15,2
Guinea,W140000WOGN,146506,2023,15,2
Equatorial Guinea,W140000WOGQ,17276,2023,15,2
Greece,W140000WOGR,55549,2023,15,2
Guatemala,W140000WOGT,179205,2023,15,2
Guam,W140000WOGU,1378,2023,15,2
Guinea-Bissau,W140000WOGW,24785,2023,15,2
Guyana,W140000WOGY,6494,2023,15,2
Hong Kong,W140000WOHK,24982,2023,15,2
Honduras,W140000WOHN,95225,2023,15,2
Croatia,W140000WOHR,20345,2023,15,2
Haiti,W140000WOHT,118353,2023,15,2
Hungary,W140000WOHU,50388,2023,15,2
Indonesia,W140000WOID,2317813,2023,15,2
Ireland,W140000WOIE,35779,2023,15,2
Israel,W140000WOIL,74758,2023,15,2
Isle of Man,W140000WOIM,484,2023,15,2
India,W140000WOIN,11431388,2023,15,2
Iraq,W140000WOIQ,447447,2023,15,2
Iran,W140000WOIR,626219,2023,15,2
Iceland,W140000WOIS,2342,2023,15,2
Italy,W140000WOIT,294420,2023,15,2
Jersey,W140000WOJE,515,2023,15,2
Jamaica,W140000WOJM,23475,2023,15,2
Jordan,W140000WOJO,107627,2023,15,2
Japan,W140000WOJP,555965,2023,15,2
Kenya,W140000WOKE,686826,2023,15,2
Kyrgyzstan,W140000WOKG,55851,2023,15,2
Cambodia,W140000WOKH,158663,2023,15,2
Kiribati,W140000WOKI,1060,2023,15,2
Comoros,W140000WOKM,10844,2023,15,2
Saint Kitts and Nevis,W140000WOKN,355,2023,15,2
"Korea, North",W140000WOKP,168428,2023,15,2
"Korea, South",W140000WOKR,228493,2023,15,2
Kuwait,W140000WOKW,19488,2023,15,2
Cayman Islands,W140000WOKY,363,2023,15,2
Kazakhstan,W140000WOKZ,160852,2023,15,2
Laos,W140000WOLA,75990,2023,15,2
Lebanon,W140000WOLB,36980,2023,15,2
Saint Lucia,W140000WOLC,1031,2023,15,2
Liechtenstein,W140000WOLI,176,2023,15,2
Sri Lanka,W140000WOLK,181585,2023,15,2
Liberia,W140000WOLR,62762,2023,15,2
